LATITUDE,LONGITUDE,CITY,ALTITUDE
40.7127,-74.0059,New York City,96
19.433332999999998,-99.133333,Mexico City,243
32.715,-117.1625,San Diego,362
37.975556,-121.30083300000001,"Stockton, CA",366
37.783333,-122.41666699999999,San Francisco,368
